,subject,task,area,place,city,state,wage,company,url
0,Vaga de Vendedor em Goiânia/GO,Vendedor,Comércio,Goiânia / GO,Goiânia,GO,a combinar,Opção Uniformes Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/vendedor-interno/3335622
1,Vaga de Representante Comercial em Diadema/SP,Representante Comercial,Comércio,Diadema / SP,Diadema,SP,a combinar,Mf Distribuidora,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-goiania-go/vendedor/3335620
2,Vaga de Auxiliar de Vendas em Curitiba/PR,Auxiliar de Vendas,Outros,Curitiba / PR,Curitiba,PR,a combinar,Personal Store,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-diadema-sp/representante-comercial/3335606
3,Vaga de Vendedor em Toritama/PE,Vendedor,Comércio,Toritama / PE,Toritama,PE,a combinar,Marajó Tecidos Jeans Brim,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/auxiliar-de-vendas/3335605
4,Vaga de Atendente de Balcão em Belo Horizonte/MG,Atendente de Balcão,Outros,Belo Horizonte / MG,Belo Horizonte,MG,a combinar,Street Bike Comercio,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-toritama-pe/vendedor/3335593
5,Vaga de Vendedor Técnico em Curitiba/PR - home office,Vendedor Técnico,Outros,"Agua Verde,  Curitiba / PR","Agua Verde,  Curitiba",PR,"R$ 1.800,00 a R$ 4.000,00",Leonidas Pires da Silva - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-belo-horizonte-mg/atendente-de-balcao/3335592
6,Vaga de Supervisor de Loja em Rio de Janeiro/RJ,Supervisor de Loja,Outros,Rio de Janeiro / RJ,Rio de Janeiro,RJ,a combinar,Allis Solucoes em Trade e Pessoas Ltda,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/vendedor-tecnico/3335590
7,Vaga de Vendedor Interno em Curitiba/PR,Vendedor Interno,Comércio,Curitiba / PR,Curitiba,PR,a combinar,Grupo Moro Rh,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-rio-de-janeiro-rj/supervisor-de-loja/3335586
8,Vaga de Consultor Comercial em Curitiba/PR,Consultor Comercial,Outros,"Fanny,  Curitiba / PR","Fanny,  Curitiba",PR,"R$ 3.200,00",ZOCCHE CORP - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/vendedor-interno/3335577
9,5 Vagas de Vendedor Externo em Campinas/SP,Vendedor Externo,Comércio,Campinas / SP,Campinas,SP,"R$ 1.400,00 a R$ 3.000,00",Performa Brasil - Ver dados da empresa,https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-curitiba-pr/consultor-comercial/3323042
